ID,ISO1_3C,Longitude,Latitude,Population,NameID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,COPD_ave,CVD,CVD_F,CVD_M,CVD_ave,HIV,HIV_F,HIV_M,HIV_ave,Hypertension,Hypertension_F,Hypertension_M,HTN_ave,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,Cases_Active,Cases_Confirmed,Cases_Deaths,Deaths/100k,Deaths/100k,
IT,ITA,12.57,41.87,60461828,Italy,14.10257843,16.56195583,4.020086765,7.01171875,41.58902,8.4230347,77.855629,5,19.9,23.4,16406249.23,1.970501503,3.073596844,2.5,52764623.47,7.757209356,8.372984914,8.1,875719.1548,0.105409463,0.163815305,0.1,194682498.3,27.7819223,31.7872531,29.8,0.307103158,0.174828807,0.06058047,2,4,6589304,88.557579,1511640,165239,4241760,126924,210,210,
KZ,KAZ,66.92,48.02,18776707,Kazakhstan,13.6932918,17.8633836,1.064412475,3.795865059,446.35999,275.40726,1163.4463,6.1,21,24.4,62293749.27,2.661411798,4.272669117,3.5,138805587.4,6.722839441,8.659997072,7.7,1583333.052,0.063730101,0.112850696,0.1,481112341.1,24.7893926,28.401291,26.6,0.217699687,0.213799322,0.04851734,0,0,18140754,3.8845463,1401467,25764,456346,3487,19,19,
LT,LTU,23.88,55.17,2722291,Lithuania,12.74846528,13.18563176,4.917281628,6.401962757,51.771824,16.503244,158.9675,3.8,26.3,27.1,4942691.542,1.12159062,2.597225589,1.9,21384422.11,7.143863763,8.516008335,7.8,182782.2522,0.046272329,0.090351759,0.1,95095490.38,31.2301185,38.5094733,34.9,0.351970956,0.22302972,0.07517307,0,0,2751951,20.798796,557405,10909,277379,4330,159,159,
LU,LUX,6.13,49.82,625976,Luxembourg,12.23447155,12.41857928,6.464730263,7.271630764,14.750108,7.8539624,84.870201,5,22.6,21.7,2177368.3,3.520175944,3.892894626,3.7,3796043.13,6.188103071,6.736197479,6.5,47118.30086,0.050330686,0.109942459,0.1,15448536.87,21.0584288,31.5155674,26.3,0.30315196,0.222612536,0.05663099,0,0,588958,127.17725,87267,645,70406,818,131,131,
LV,LVA,24.6,56.88,1886202,Latvia,10.3596921,10.71653427,4.585998535,6.517357349,77.60321,21.58433,213.04385,5,23.6,36.7,3676309.867,1.029818311,2.026898566,1.5,19254984.06,6.905370545,8.815208746,7.9,495463.7041,0.153303612,0.255879367,0.2,90282974.19,33.1789639,40.378593,36.8,0.35005956,0.223729097,0.07817345,0,0,2475918,18.102781,511381,3060,135762,2449,130,130,
MN,MNG,103.85,46.86,3278292,Mongolia,11.13526319,10.3313131,0.79777652,4.11032629,708.01947,305.02338,1683.8782,4.7,20.6,27.6,4366436.768,1.191022147,1.577224349,1.4,26800332.6,7.367381091,9.621528644,8.5,44807.98332,0.004507656,0.024175949,0.0,78143328.01,21.663299,27.865772,24.8,0.182661792,0.21145479,0.04059164,0,9,3162416,1.1974641,137865,15509,72104,342,10,10,
NL,NLD,5.29,52.13,17134873,Netherlands,14.33887932,14.92419514,7.947118759,9.337916374,11.015059,5.4632435,70.459183,5.4,20.4,23.4,73706295.73,4.270575315,4.252737983,4.3,106036116.2,5.301443368,6.97773389,6.1,1813710.709,0.066909819,0.143608828,0.1,432887221.7,21.6875161,28.4407046,25.1,0.309376848,0.200242051,0.06101648,1,0,17306986,257.38358,3389600,1652790,1670498,17708,103,103,
NO,NOR,8.47,60.47,5421242,Norway,4.171130827,5.438006726,2.447779655,4.631200314,263.29022,86.107613,511.10559,5.3,23.1,18.4,20866501.03,4.015070645,4.010876395,4.0,37009082.81,6.455163007,7.772136794,7.1,343835.0232,0.054536436,0.077580937,0.1,129668135.4,20.977405,28.8518056,24.9,0.276976048,0.193672449,0.05289586,0,0,5199776,6.0060945,905258,109087,127874,789,15,15,
NP,NPL,84.25,28.17,29136808,Nepal,43.18953788,63.44584695,1.587138653,5.671988487,335.28049,156.90039,362.93683,7.2,4.1,31.9,154040703.4,3.960167841,3.565705984,3.8,225753680.1,4.839687493,6.280931348,5.6,4170947.262,0.06316353,0.144778038,0.1,1065874920,25.0458909,27.2515778,26.1,0.175074633,0.207468831,0.03727771,0,0,40839720,208.85182,2793981,75275,604396,8305,29,29,
PK,PAK,69.35,30.38,220892331,Pakistan,56.26610324,56.89790691,1.997956157,5.0235672,261.0192,203.61223,680.05908,19.9,8.6,20,624784709.2,2.39059326,2.99568057,2.7,1711237962,6.969456147,7.810348971,7.4,8990476.984,0.023978492,0.052856218,0.0,5876583913,23.7973339,26.9493723,25.4,0.166890337,0.220922932,0.03424986,0,0,231126080,196.26926,10509906,42717,939931,21633,10,10,
