Country,Latitude,Diabetes,Obesity,Smoking,COPD,CVD,HIV,Hypertension,Pop_Density,Pop_65,Confirmed,Deaths,C19/100k,MERS per 100k,SARS per 100k
HND,15.2,7.3,21.4,NA,22322329.45,51348099.26,1099368.78,164942350,70.555359,485164,245695,6599,2480.6,0.000000,0.000000
HRV,45.1,5.4,24.4,36.6,12152431.11,29894356.47,72478.83835,168234489.5,43.780178,855616,358379,8123,8729.7,0.000000,0.000000
HTI,18.97,6.7,22.7,8.3,26923756.7,95298285.47,21777709.39,293828386.8,435.65646,660562,16079,346,141.0,0.000000,0.000000
HUN,47.16,6.9,26.4,30.6,36212350.68,78287876.46,155894.7959,344017274.8,59.28672,1881012,806790,29904,8351.6,0.000000,0.000000
IDN,-0.79,6.3,6.9,37.9,707419774.7,1779694806,30656464.47,6192354766,127.39873,15767469,1894025,52566,692.5,0.000000,0.000731
IRL,53.14,3.2,25.3,23.6,22019895.31,33058324.47,252565.746,124595357,40.289165,790331,266058,4941,5388.2,0.000000,0.020252
ISR,31.05,9.7,26.1,25.5,21816691.87,48252802.78,1350765.421,166015576.7,297.70181,1118573,839653,6428,9700.8,0.000000,0.000000
IND,20.59,10.4,3.9,27,4883967087,8942443298,185367251.8,33095786207,357.89706,91445872,29359155,367081,2127.5,0.000000,0.000217
IRQ,33.22,8.8,30.4,22.2,49267098.14,408410038.9,269502.7214,861600841.8,72.400681,1427104,1246860,16668,3099.9,0.012431,0.000000
IRN,32.43,9.6,25.8,14,173469040.9,769017677.9,2399007.668,1370916275,35.859539,4969041,3013078,81796,3587.3,0.007143,0.000000
ISL,64.96,5.8,21.9,13.8,1097279.059,1954228.04,19011.91298,7908011.128,1.2272581,52700,6555,29,1920.9,0.000000,0.000000
ITA,41.87,5,19.9,23.4,16406249.23,52764623.47,875719.1548,194682498.3,88.557579,1511640,4241760,126924,7015.6,0.003308,0.006616
JAM,18.11,11.3,24.7,11,5256099.124,19772385.44,1488865.913,59521461.5,200.5166,280539,48810,960,1648.3,0.000000,0.000000
JOR,31.24,12.7,35.5,NA,12120755.86,60466322.74,42833.09649,117030332.2,59.007133,281724,739847,9530,7251.2,0.039204,0.000000
JPN,36.2,5.6,4.3,21.9,196679925,801333314.5,3398522.125,3396887746,232.89558,35679468,772293,13936,610.6,0.000000,0.000000
KEN,-0.02,3.1,7.1,11.8,99363401.51,392385089.9,239359324.9,1098685993,81.964249,1543117,174773,3378,325.0,0.003719,0.000000
KGZ,41.2,6.1,16.6,27.9,18396781.71,42076664.45,579369.4022,128251467,18.916246,288064,109193,1876,1673.7,0.000000,0.000000
KHM,11.55,6.4,3.9,21.8,46813173.81,110038778.3,9442410.32,443238349.5,91.280609,849211,37321,311,223.2,0.000000,0.000000
COM,-11.65,12.3,7.8,19.5,1295390.922,6006569.868,15638.76859,18470671.07,417.15277,25974,3894,146,447.8,0.000000,0.000000
KOR,35.91,6.9,4.7,22,119548350.7,252621145.9,2277679.656,684717461.2,357.28375,8100671,147422,1982,287.5,0.115079,0.005851
KWT,29.31,12.2,37.9,22.1,3883795.408,30074538.4,22411.3488,61921433.84,152.31728,101369,325014,1813,7610.6,0.093664,0.023416
KAZ,48.02,6.1,21,24.4,62293749.27,138805587.4,1583333.052,481112341.1,3.8845463,1401467,456346,3487,2430.4,0.000000,0.000000
LAO,19.86,6.4,5.3,37.8,21730308.96,45977726.68,989062.2546,146645369.1,26.790396,320988,1979,3,27.2,0.000000,0.000000
LBN,33.85,11.2,32,42.6,28960991.53,85115022.97,245336.0076,195573090.5,691.2738,915438,542375,7790,7946.4,0.029302,0.000000
LKA,7.87,10.7,5.2,22.9,53655134.5,119836761.8,194459.9978,505965361.2,273.98676,2381162,218366,2011,1019.8,0.000000,0.000000
LBR,6.43,2.4,9.9,8.4,6933465.082,29311191.37,4216294.463,100094637.4,39.794048,138281,2484,93,49.1,0.000000,0.000000
LSO,-29.61,4.5,16.6,29.7,5708075.508,12023503.48,38059363.46,40160564.32,45.610535,84421,10853,326,506.6,0.000000,0.000000
LTU,55.17,3.8,26.3,27.1,4942691.542,21384422.11,182782.2522,95095490.38,20.798796,557405,277379,4330,10189.2,0.000000,0.000000
LUX,49.82,5,22.6,21.7,2177368.3,3796043.13,47118.30086,15448536.87,127.17725,87267,70406,818,11247.4,0.000000,0.000000
LVA,56.88,5,23.6,36.7,3676309.867,19254984.06,495463.7041,90282974.19,18.102781,511381,135762,2449,7197.6,0.000000,0.000000
LBY,26.34,10.2,32.5,NA,17796817.31,60196853.88,139657.0686,142194307.6,3.2579422,320630,188762,3158,2747.1,0.000000,0.000000
MAR,31.79,7,26.1,14.7,71102978.87,316327556.3,1329770.814,846847199.3,62.71801,2680046,523165,9202,1417.4,0.000000,0.000000
MDA,47.41,5.7,18.9,25.3,8033595.509,26777222.23,729331.1881,122887787.8,63.735989,476623,255715,6149,6339.1,0.000000,0.000000
MNE,42.71,9,23.3,NA,842262.1445,4672517.288,8368.261647,20648060.15,29.088402,98336,99914,1597,15908.3,0.000000,0.000000
MDG,-18.77,4.5,5.3,28.9,62110209.72,210897424.6,5322788.877,604551751,37.896378,862657,41869,879,151.2,0.000000,0.000000
MKD,41.61,9.3,22.4,NA,4566055.064,15226373.85,10676.36322,NA,55.231255,304126,155507,5470,7464.2,0.000000,0.000000
MLI,17.57,2.4,8.6,12,55218836.14,142179794.1,17484000.62,578770963.2,15.168108,572381,14336,523,70.8,0.000000,0.000000
MMR,21.92,3.9,5.8,45.5,197389213.6,281895847.3,19029742.12,1086603503,57.59837,3096218,145064,3239,266.6,0.000000,0.000000
