Country,Latitude,Diabetes,Obesity,Smoking,COPD,CVD,HIV,Hypertension,Pop_Density,Confirmed,Deaths,C19/100k
NZL,40.90,6.2,30.8,14.8,16339238.61,28033976.73,262954.539,87919044.86,10.502871,2702,26,56
OMN,21.51,10.1,27,9.6,5242125.066,32260852.03,205183.8078,60040568,9.6551275,230219,2467,4508.2
PAN,8.54,7.7,22.7,6.9,6814224.702,22109024.2,2146103.193,77951716.34,45.349392,386269,6427,8952.3
PER,9.19,6.6,19.7,9.6,1375602.365,4668719.244,264585.1533,13138946.7,26.992483,1998056,188100,6059.9
PHL,12.88,7.1,6.4,24.3,268964686.1,684081147.3,27575253.76,2001466105,298.05307,1300349,22507,1186.7
PAK,30.38,19.9,8.6,20,624784709.2,1711237962,8990476.984,5876583913,196.26926,939931,21633,425.5
POL,51.92,6.1,23.1,26,98862288.3,270990330.9,1443053.372,1342881773,66.624763,2877007,74515,7601.8
PRT,39.40,9.8,20.8,27.9,31846309.18,56839109.05,3746502.027,335976595.6,76.586342,855951,17044,8394.4
PRY,23.44,9.6,20.3,12.8,14101942.19,43042402.86,1816427.833,161996614.7,14.803046,387687,10561,5435.5
QAT,25.35,15.6,35.1,14,12664016.34,51832640.81,34004.74719,101716786.6,447.6106,219466,574,7617.5
ROU,45.94,6.9,22.5,25.5,88001798.52,260654622.4,2824891.712,1202498785,85.580498,1079530,31681,5611.5
SRB,44.02,9,21.5,40.6,22037360.25,57666794.14,171473.067,244900228.6,55.530155,714634,6951,8179.1
RUS,61.52,6.1,23.1,28.3,295302916.7,1127026350,103888421.2,4464388161,3.3787088,5120578,123568,3508.8
RWA,1.94,5.1,5.8,13.3,25765641.32,84676138.11,29894589.07,264645500.5,475.23151,27862,368,215.1
SAU,23.89,15.8,35.4,16.6,79881318.18,306279655.8,931576.9985,700850604.6,15.042521,463703,7537,1331.9
SLB,9.65,19,22.5,37.9,839369.0034,3716704.335,69820.11549,9416973.746,16.420527,20,0,3.1
SWE,60.13,4.8,20.6,28.8,35335397.38,71426263.46,494870.0845,262709272.2,9.0574884,1083456,14574,10728.1
SGP,1.28,5.5,6.1,16.5,7629954.209,23319664.87,286577.5848,74905299.3,5671.6699,62245,34,1064
SVN,46.15,5.9,20.2,22.7,4697763.311,16562177.31,24477.32036,83514169.52,65.252426,256224,4398,12324.8
SVK,48.67,6.5,20.5,32.3,11519645.92,40232227.38,31428.81909,180024331.7,63.127808,390893,12433,7159.7
SLE,8.46,2.4,8.7,19.8,12928093.78,47987561.13,8228772.68,157861816.6,78.872162,4312,82,54.1
SEN,14.50,2.4,8.8,9.1,29214548.99,108766218.6,6744405.554,373936701.9,68.647728,41900,1150,250.2
STP,0.19,2.4,12.4,5.4,709514.6528,1600357.239,3477.471026,3953134.8,170.83603,2356,37,1075
SLV,13.79,8.8,24.6,12.7,11595011.78,34926810.37,2476099.8,113567632.9,275.14362,75351,2288,1161.7
SWZ,26.52,4.5,16.5,10.7,2986305.851,7397892.95,25123087.99,NA,48.426716,18723,676,1613.8
TCD,15.45,6,6.1,11.8,28510598.32,103106745.3,21678728.96,403384088.4,10.751407,4942,174,30.1
TGO,8.62,2.4,8.4,7.6,17728284.63,58971820.9,14915788.58,191627965.1,129.88596,13597,126,164.2
THA,15.87,7,10,22.8,159311438.5,417571556.3,48982853.73,1868332637,120.34926,189828,1402,272
TLS,8.87,6.7,3.8,38.2,3592832.634,8591195.869,449220.5701,29591265.23,79.17646,8145,18,617.8
TUN,33.89,8.5,26.9,26,25670131.87,89354004.1,302001.8068,264918845.7,53.360607,364819,13365,3086.8
TUR,38.96,11.1,32.1,29.3,284732914.6,526944005.2,493504.4523,1586345095,69.21508,5319359,48593,6307.1
TZA,6.37,5.7,8.4,13.3,75368182.04,387027830.8,206008001.2,1178091714,53.963715,509,21,0.9
UGA,1.37,2.5,5.3,9.8,68274942.49,272130034.3,214023824.9,822108405,173.13625,58515,408,127.9
USA,40.00,10.8,36.2,25.1,488915287.8,1016090350,58088517.77,2019186510,17.339632,33437746,599180,10149.1
URY,32.52,7.3,27.9,21.8,11938048.62,17718566.61,1202142.071,81519433.21,13.635397,333484,4906,9600.2
UZB,41.38,6.5,16.6,12.3,57448717.7,290521922.9,2235592.004,729937151.8,50.208542,102892,704,307.4
YEM,15.55,5.4,17.1,20.9,64626643.7,253249674.1,763378.2376,681000619.6,54.946499,6856,1342,23
ZAF,30.56,12.7,28.3,31.4,146653863.3,422230874.6,841024633.1,1436101592,36.822422,1730106,57592,2917.1
ZMB,13.13,4.5,8.1,14.7,31752816.98,119162707.3,175343170,364552977.6,20.976574,107974,1348,587.3
ZWE,19.02,1.8,15.5,13.9,30777412.9,97955785.47,155974157.9,291135740.7,29.928238,39688,1629,267
NAM,22.96,4.5,17.2,17.9,5914689.096,15801359.28,25076712.57,54467378.07,2.3509934,62806,973,2471.8
