ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65
GT,15.57208906,17.87704635,1.460792422,3.703413486,180.95358,96.341133,408.05472,10,21.2,NA,23527952.44,1.185348116,1.391076454,94192156.59,5.057742388,5.256563361,3673946.166,0.121295854,0.281058016,311552979,16.1076613,18.008645,0.173878649,0.229841169,0.02965141,0,0,18264480,137.86386,903527
GW,44.70933868,44.90995145,0.547657013,0.770605206,158.53247,76.699707,419.27899,2.4,9.5,NA,3860230.922,2.021638559,2.142929732,12038361.85,6.291462884,6.696805108,4017500.376,2.566501341,1.739158364,44583454.17,23.8736396,24.1923057,0.152958385,0.239825908,0.0317893,0,0,1855464,45.877361,57116
GY,12.46254608,12.43015076,0.827150881,1.864599466,1559.6593,1451.5098,3115.814,11.6,20.2,12.2,980281.0868,1.173439435,1.554544566,5086876.059,6.618768673,7.544134661,913361.3991,1.362507078,1.18272806,14016008.72,18.2320335,20.7913388,0.222900648,0.235829253,0.04116658,0,0,718407,2.9165964,39379
HN,12.6622333,13.94552298,1.193152308,2.464045763,286.63589,199.16171,548.96289,7.3,21.4,NA,22322329.45,2.649448504,2.006950772,51348099.26,5.260214913,5.501407886,1099368.78,0.096607437,0.134769452,164942350,15.9222167,18.7056883,0.17312587,0.217182603,0.02917059,0,0,9549104,70.555359,485164
HR,14.65198361,15.23981553,3.876852512,4.839007854,41.152702,16.780777,127.84193,5.4,24.4,36.6,12152431.11,2.265446316,3.716625422,29894356.47,6.486592498,8.155595797,72478.83835,0.007301233,0.028875583,168234489.5,37.5775347,44.7371117,0.3373016,0.207695819,0.0779229,0,0,4101371,43.780178,855616
HT,9.153432451,9.40220171,1.824495435,3.9398489,61.319923,20.518147,59.859749,6.7,22.7,8.3,26923756.7,1.808019074,1.899260514,95298285.47,6.291981256,6.83226915,21777709.39,1.701673355,1.292334177,293828386.8,19.2993107,21.167994,0.187856365,0.232967288,0.03588473,0,0,14528272,435.65646,660562
HU,15.92125797,16.38158445,5.065337658,6.640629768,39.479908,13.992006,117.96071,6.9,26.4,30.6,36212350.68,3.280110782,4.510607599,78287876.46,7.505788344,9.293757743,155894.7959,0.005860062,0.028541974,344017274.8,33.3189857,40.4674273,0.341323779,0.218206604,0.07870573,0,0,9369732,59.28672,1881012
ID,17.66116686,34.39239941,1.048445106,3.210066319,492.53799,278.29269,707.77222,6.3,6.9,37.9,707419774.7,1.988532957,3.032735731,1779694806,6.290506814,6.348471965,30656464.47,0.084964289,0.132629139,6192354766,21.4462477,22.5281217,0.221830279,0.227868898,0.04713892,0,2,281616672,127.39873,15767469
IE,5.378640751,6.141766061,2.85697794,5.213339329,44.585827,11.077654,162.22006,3.2,25.3,23.6,22019895.31,3.950497907,4.111848369,33058324.47,5.571581977,6.540667839,252565.746,0.031812758,0.060973394,124595357,20.222055,25.4464316,0.266348667,0.204854049,0.04941176,0,1,5464581,40.289165,790331
IL,21.24122283,20.79267122,5.722121716,8.525292397,43.713676,23.824326,192.85655,9.7,26.1,25.5,21816691.87,2.124367933,2.796635184,48252802.78,4.920583829,5.956981762,1350765.421,0.086389471,0.219592772,166015576.7,15.664239,21.7969195,0.204699738,0.181358669,0.03843969,0,0,8884017,297.70181,1118573
IN,57.72599909,72.23135981,3.761749268,5.282126904,79.662811,61.401276,207.07816,10.4,3.9,27,4883967087,3.51686429,3.425912913,8942443298,5.810060283,6.856590103,185367251.8,0.110794259,0.151075647,33095786207,22.7401714,24.2281547,0.215203555,0.22755175,0.04154176,0,3,1407610880,357.89706,91445872
IQ,27.75101178,25.95203219,2.302174807,5.393425465,289.7623,240.98712,752.86786,8.8,30.4,22.2,49267098.14,1.145821993,1.069460521,408410038.9,8.525985099,9.822038321,269502.7214,0.007194351,0.00493904,861600841.8,18.559733,20.1575549,0.170987859,0.246313648,0.03292304,5,0,44495216,72.400681,1427104
IR,33.24250199,28.45571321,2.458590508,5.559513569,262.82935,180.99266,633.55682,9.6,25.8,14,173469040.9,1.894860017,2.42512077,769017677.9,8.569694949,10.5830774,2399007.668,0.023870136,0.035851913,1370916275,16.0797886,18.070984,0.215294,0.219002052,0.04537768,6,0,80265200,35.859539,4969041
IS,3.409424916,3.319399329,1.578585863,3.521733046,366.24036,146.12178,857.68738,5.8,21.9,13.8,1097279.059,3.295836577,3.133518819,1954228.04,4.964855576,6.485256539,19011.91298,0.02627576,0.085107693,7908011.128,16.9449526,29.3878061,0.264875911,0.197068973,0.04912527,0,0,341336,1.2272581,52700
IT,14.10257843,16.56195583,4.020086765,7.01171875,41.58902,8.4230347,77.855629,5,19.9,23.4,16406249.23,1.970501503,3.073596844,52764623.47,7.757209356,8.372984914,875719.1548,0.105409463,0.163815305,194682498.3,27.7819223,31.7872531,0.307103158,0.174828807,0.06058047,2,4,6589304,88.557579,1511640
JM,10.32678805,10.4084656,1.250201702,2.159558058,59.243393,28.653238,141.37637,11.3,24.7,11,5256099.124,1.102539173,2.796202377,19772385.44,6.813150031,7.778429799,1488865.913,0.496533757,0.602678447,59521461.5,19.7990093,24.1464231,0.240100087,0.22744877,0.04923543,0,0,2712589,200.5166,280539
JO,23.53251908,22.55281828,2.240098715,9.726649284,324.57227,229.12053,677.75677,12.7,35.5,NA,12120755.86,1.318716967,2.05469415,60466322.74,7.829308794,9.068284301,42833.09649,0.003014155,0.00881648,117030332.2,13.7710053,18.8576258,0.184508132,0.238524929,0.03490272,4,0,7141988,59.007133,281724
JP,11.7401448,14.4024384,4.060726166,9.65422821,36.762447,18.847525,142.29128,5.6,4.3,21.9,196679925,1.096842366,2.028057776,801333314.5,6.595382253,5.977033549,3398522.125,0.015484125,0.038772409,3396887746,23.687099,29.928021,0.333839127,0.185291817,0.05904369,0,0,127248792,232.89558,35679468
KE,10.50050732,12.03801154,0.940790594,2.361867666,220.44946,77.405037,203.37796,3.1,7.1,11.8,99363401.51,1.687012362,1.914196578,392385089.9,6.912592118,7.309468838,239359324.9,5.273216072,3.406290219,1098685993,19.3171809,20.5047297,0.157278007,0.233928009,0.02700343,2,0,55176940,81.964249,1543117
KG,27.55427486,26.19014847,1.824940681,5.584641457,302.30646,204.02141,679.24719,6.1,16.6,27.9,18396781.71,2.530780583,4.012439369,42076664.45,6.608491013,8.335389056,579369.4022,0.09412208,0.111563416,128251467,22.3221928,23.1699683,0.177585574,0.211078206,0.03898359,0,0,5639765,18.916246,288064
KH,17.27358167,17.57145908,1.203748822,3.357052565,209.90508,108.02238,440.39264,6.4,3.9,21.8,46813173.81,1.812224213,2.988970576,110038778.3,5.358976449,5.876542401,9442410.32,0.448366445,0.516275658,443238349.5,22.8413324,22.3582941,0.18415313,0.221402913,0.03758421,0,0,19607806,91.280609,849211
KM,3.541891885,3.537668391,0.12154489,0.151303649,124.69023,73.504974,99.253105,12.3,7.8,19.5,1295390.922,1.399161275,1.695779859,6006569.868,7.092955047,7.268548846,15638.76859,0.009785656,0.027453494,18470671.07,21.8842402,22.2797856,0.140289496,0.207311055,0.02967988,0,0,836391,417.15277,25974
KR,24.73095639,27.45518219,5.78439188,13.81575108,28.849627,9.8254642,40.057743,6.9,4.7,22,119548350.7,1.490596818,3.164562945,252621145.9,4.665509725,5.108333879,2277679.656,0.016080524,0.073124259,684717461.2,11.1885052,15.3637014,0.282930466,0.187931534,0.05267599,59,3,51741116,357.28375,8100671
KW,51.29381317,52.41355805,5.016313076,13.95268726,98.36982,71.420197,428.02997,12.2,37.9,22.1,3883795.408,0.958750488,1.185641881,30074538.4,7.652778363,9.030737615,22411.3488,0.004424313,0.007570735,61921433.84,13.3635259,20.1679946,0.223595674,0.220268675,0.04595136,4,1,3544880,152.31728,101369
KZ,13.6932918,17.8633836,1.064412475,3.795865059,446.35999,275.40726,1163.4463,6.1,21,24.4,62293749.27,2.661411798,4.272669117,138805587.4,6.722839441,8.659997072,1583333.052,0.063730101,0.112850696,481112341.1,24.7893926,28.401291,0.217699687,0.213799322,0.04851734,0,0,18140754,3.8845463,1401467
LA,24.6150643,24.77089569,1.546052575,3.326818228,338.81619,201.91553,628.53381,6.4,5.3,37.8,21730308.96,2.671536583,3.060980097,45977726.68,5.877512429,6.249643387,989062.2546,0.072123596,0.189211149,146645369.1,19.2484359,19.4267356,0.18728047,0.235441861,0.03809472,0,0,7583584,26.790396,320988
LB,18.36392947,18.57286754,8.153396606,21.03697968,39.682129,16.120802,101.11642,11.2,32,42.6,28960991.53,2.649805462,3.181631989,85115022.97,7.765429128,9.372704654,245336.0076,0.015322522,0.034015267,195573090.5,16.4674188,22.899802,0.243373421,0.244541629,0.04450877,2,0,9928766,691.2738,915438
