"ID","Cases","Type"
"KM",3736,"Recovered"
"KN",32,"Active"
"KN",83,"Confirmed"
"KN",51,"Recovered"
"KR",7403,"Active"
"KR",147422,"Confirmed"
"KR",1982,"Deaths"
"KR",138037,"Recovered"
"KW",15689,"Active"
"KW",325014,"Confirmed"
"KW",1813,"Deaths"
"KW",307512,"Recovered"
"KZ",25764,"Active"
"KZ",456346,"Confirmed"
"KZ",3487,"Deaths"
"KZ",427095,"Recovered"
"LA",149,"Active"
"LA",1979,"Confirmed"
"LA",3,"Deaths"
"LA",1827,"Recovered"
"LB",7987,"Active"
"LB",542375,"Confirmed"
"LB",7790,"Deaths"
"LB",526598,"Recovered"
"LC",120,"Active"
"LC",5168,"Confirmed"
"LC",80,"Deaths"
"LC",4968,"Recovered"
"LI",17,"Active"
"LI",3024,"Confirmed"
"LI",59,"Deaths"
"LI",2948,"Recovered"
"LK",32265,"Active"
"LK",218366,"Confirmed"
"LK",2011,"Deaths"
"LK",184090,"Recovered"
"LR",326,"Active"
"LR",2484,"Confirmed"
"LR",93,"Deaths"
"LR",2065,"Recovered"
"LS",4087,"Active"
"LS",10853,"Confirmed"
"LS",326,"Deaths"
"LS",6440,"Recovered"
"LT",10909,"Active"
"LT",277379,"Confirmed"
"LT",4330,"Deaths"
"LT",262140,"Recovered"
"LU",645,"Active"
"LU",70406,"Confirmed"
"LU",818,"Deaths"
"LU",68943,"Recovered"
"LV",3060,"Active"
"LV",135762,"Confirmed"
"LV",2449,"Deaths"
"LV",130253,"Recovered"
"LY",11170,"Active"
"LY",188762,"Confirmed"
"LY",3158,"Deaths"
"LY",174434,"Recovered"
"MA",3340,"Active"
"MA",523165,"Confirmed"
"MA",9202,"Deaths"
"MA",510623,"Recovered"
"MC",14,"Active"
"MC",2520,"Confirmed"
"MC",33,"Deaths"
"MC",2473,"Recovered"
"MD",1065,"Active"
"MD",255715,"Confirmed"
"MD",6149,"Deaths"
"MD",248501,"Recovered"
"ME",473,"Active"
"ME",99914,"Confirmed"
"ME",1597,"Deaths"
"ME",97844,"Recovered"
"MG",800,"Active"
"MG",41869,"Confirmed"
"MG",879,"Deaths"
"MG",40190,"Recovered"
"MH",0,"Active"
"MH",4,"Confirmed"
"MH",4,"Recovered"
"MK",425,"Active"
"MK",155507,"Confirmed"
"MK",5470,"Deaths"
"MK",149612,"Recovered"
"ML",3910,"Active"
"ML",14336,"Confirmed"
"ML",523,"Deaths"
"ML",9903,"Recovered"
"MM",9060,"Active"
"MM",145064,"Confirmed"
"MM",3239,"Deaths"
"MM",132765,"Recovered"
"MN",15509,"Active"
"MN",72104,"Confirmed"
"MN",342,"Deaths"
"MN",56253,"Recovered"
"MR",489,"Active"
"MR",20005,"Confirmed"
"MR",473,"Deaths"
"MR",19043,"Recovered"
"MT",64,"Active"
"MT",30579,"Confirmed"
"MT",419,"Deaths"
"MT",30096,"Recovered"
"MU",313,"Active"
"MU",1564,"Confirmed"
"MU",18,"Deaths"
"MU",1233,"Recovered"
"MV",13080,"Active"
"MV",69831,"Confirmed"
"MV",192,"Deaths"
"MV",56559,"Recovered"
"MW",603,"Active"
"MW",34470,"Confirmed"
"MW",1158,"Deaths"
"MW",32709,"Recovered"
"MX",268578,"Active"
"MX",2448820,"Confirmed"
"MX",229823,"Deaths"
"MX",1950419,"Recovered"
"MY",78864,"Active"
"MY",646411,"Confirmed"
"MY",3768,"Deaths"
"MY",563779,"Recovered"
"MZ",637,"Active"
"MZ",71355,"Confirmed"
"MZ",840,"Deaths"
"MZ",69878,"Recovered"
"NA",8099,"Active"
"NA",62806,"Confirmed"
"NA",973,"Deaths"
"NA",53734,"Recovered"
"NE",93,"Active"
"NE",5446,"Confirmed"
"NE",192,"Deaths"
"NE",5161,"Recovered"
"NG",1504,"Active"
"NG",167051,"Confirmed"
"NG",2117,"Deaths"
"NG",163430,"Recovered"
"NI",3249,"Active"
"NI",7662,"Confirmed"
"NI",188,"Deaths"
"NI",4225,"Recovered"
"NL",1652790,"Active"
"NL",1670498,"Confirmed"
"NL",17708,"Deaths"
"NO",109087,"Active"
"NO",127874,"Confirmed"
"NO",789,"Deaths"
"NO",17998,"Recovered"
"NP",75275,"Active"
"NP",604396,"Confirmed"
"NP",8305,"Deaths"
"NP",520816,"Recovered"
"NZ",29,"Active"
"NZ",2702,"Confirmed"
"NZ",26,"Deaths"
"NZ",2647,"Recovered"
"OM",19957,"Active"
"OM",230219,"Confirmed"
"OM",2467,"Deaths"
"OM",207795,"Recovered"
"PA",8827,"Active"
"PA",386269,"Confirmed"
"PA",6427,"Deaths"
"PA",371015,"Recovered"
"PE",-145394,"Active"
"PE",1998056,"Confirmed"
"PE",188100,"Deaths"
"PE",1955350,"Recovered"
"PG",515,"Active"
"PG",16621,"Confirmed"
"PG",164,"Deaths"
"PG",15942,"Recovered"
"PH",61345,"Active"
"PH",1300349,"Confirmed"
"PH",22507,"Deaths"
"PH",1216497,"Recovered"
"PK",42717,"Active"
"PK",939931,"Confirmed"
"PK",21633,"Deaths"
"PK",875581,"Recovered"
"PL",154804,"Active"
"PL",2877007,"Confirmed"
"PL",74515,"Deaths"
"PL",2647688,"Recovered"
"PS",4550,"Active"
"PS",311018,"Confirmed"
"PS",3524,"Deaths"
"PS",302944,"Recovered"
"PT",24589,"Active"
"PT",855951,"Confirmed"
"PT",17044,"Deaths"
"PT",814318,"Recovered"
"PY",57554,"Active"
"PY",387687,"Confirmed"
"PY",10561,"Deaths"
"PY",319572,"Recovered"
"QA",2409,"Active"
"QA",219466,"Confirmed"
"QA",574,"Deaths"
"QA",216483,"Recovered"
"RO",4046,"Active"
"RO",1079530,"Confirmed"
"RO",31681,"Deaths"
"RO",1043803,"Recovered"
"RS",707683,"Active"
"RS",714634,"Confirmed"
"RS",6951,"Deaths"
"RS",0,"Recovered"
"RU",270140,"Active"
"RU",5120578,"Confirmed"
"RU",123568,"Deaths"
"RU",4726870,"Recovered"
"RW",1153,"Active"
"RW",27862,"Confirmed"
"RW",368,"Deaths"
"RW",26341,"Recovered"
"SA",10112,"Active"
"SA",463703,"Confirmed"
"SA",7537,"Deaths"
"SA",446054,"Recovered"
"SB",0,"Active"
"SB",20,"Confirmed"
"SB",20,"Recovered"
"SC",1293,"Active"
"SC",12973,"Confirmed"
"SC",46,"Deaths"
"SC",11634,"Recovered"
"SD",3643,"Active"
"SD",36203,"Confirmed"
"SD",2719,"Deaths"
"SD",29841,"Recovered"
"SE",1068882,"Active"
"SE",1083456,"Confirmed"
"SE",14574,"Deaths"
"SG",412,"Active"
"SG",62245,"Confirmed"
"SG",34,"Deaths"
"SG",61799,"Recovered"
"SI",3083,"Active"
"SI",256224,"Confirmed"
"SI",4398,"Deaths"
"SI",248743,"Recovered"
"SK",123160,"Active"
"SK",390893,"Confirmed"
"SK",12433,"Deaths"
"SK",255300,"Recovered"
"SL",1061,"Active"
"SL",4312,"Confirmed"
"SL",82,"Deaths"
"SL",3169,"Recovered"
"SM",2,"Active"
"SM",5090,"Confirmed"
"SM",90,"Deaths"
"SM",4998,"Recovered"
"SN",301,"Active"
"SN",41900,"Confirmed"
"SN",1150,"Deaths"
"SN",40449,"Recovered"
"SO",6989,"Active"
"SO",14779,"Confirmed"
"SO",774,"Deaths"
"SO",7016,"Recovered"
"SR",3745,"Active"
"SR",17799,"Confirmed"
"SR",390,"Deaths"
"SR",13664,"Recovered"
"SS",59,"Active"
"SS",10688,"Confirmed"
"SS",115,"Deaths"
"SS",10514,"Recovered"
"ST",13,"Active"
"ST",2356,"Confirmed"
"ST",37,"Deaths"
